DateTime,High,Low,Average,Volume BTC
2013-09-03 00:00:00,132.95,132.95,132.95,37462.61
2013-09-04 00:00:00,129.33,126.49,127.63,132219.64
2013-09-05 00:00:00,119.49,119.49,119.49,70738.94
2013-09-06 00:00:00,123.14,122.52,122.84,54013.52
2013-09-07 00:00:00,120.21,119.68,119.91,27240.87
2013-09-08 00:00:00,126.77,124.90,125.97,83696.68
2013-09-09 00:00:00,126.09,124.82,125.47,46292.81
2013-09-10 00:00:00,129.82,128.79,129.30,78048.0
2013-09-11 00:00:00,133.01,132.17,132.58,76112.15
2013-09-12 00:00:00,133.92,133.27,133.53,59243.12
2013-09-13 00:00:00,128.13,127.29,127.68,33973.62
2013-09-14 00:00:00,128.61,127.82,128.26,29867.28
2013-09-15 00:00:00,130.10,129.40,129.70,40916.8
2013-09-16 00:00:00,130.73,130.18,130.41,39387.05
2013-09-17 00:00:00,132.18,131.39,131.68,27742.28
2013-09-18 00:00:00,130.19,130.19,130.19,40799.42
2013-09-19 00:00:00,128.85,128.85,128.85,65008.27
2013-09-20 00:00:00,127.72,126.66,127.32,34601.67
2013-09-21 00:00:00,127.31,126.54,126.95,19360.95
2013-09-22 00:00:00,127.79,126.60,127.00,20678.13
2013-09-23 00:00:00,126.12,125.39,125.78,29193.72
2013-09-24 00:00:00,127.52,126.97,127.26,44713.63
2013-09-25 00:00:00,128.14,127.30,127.70,33495.51
2013-09-26 00:00:00,130.84,129.90,130.25,55990.0
2013-09-27 00:00:00,132.40,131.50,131.82,49593.88
2013-09-28 00:00:00,136.30,135.36,135.98,41449.68
2013-09-29 00:00:00,133.42,132.48,132.87,38186.42
2013-09-30 00:00:00,134.05,132.79,133.44,47682.91
2013-10-01 00:00:00,133.19,132.28,132.76,37041.29
2013-10-02 00:00:00,121.58,120.14,120.86,297826.0
2013-10-03 00:00:00,128.90,128.90,128.90,60600.05
2013-10-04 00:00:00,127.81,126.95,127.33,20604.97
2013-10-05 00:00:00,127.58,127.17,127.38,20305.51
2013-10-06 00:00:00,128.20,127.58,127.86,32276.98
2013-10-07 00:00:00,126.90,126.25,126.57,42978.52
2013-10-08 00:00:00,131.71,130.60,131.09,75029.61
2013-10-09 00:00:00,130.74,130.13,130.41,63994.21
2013-10-10 00:00:00,130.91,130.51,130.67,43829.71
2013-10-11 00:00:00,133.96,133.52,133.69,43182.51
2013-10-12 00:00:00,137.00,136.52,136.79,62412.71
2013-10-13 00:00:00,140.50,139.72,140.06,120227.25
2013-10-14 00:00:00,145.63,144.72,145.14,78022.49
2013-10-15 00:00:00,145.72,143.86,144.82,169994.35
2013-10-16 00:00:00,147.84,146.62,147.37,105528.94
2013-10-17 00:00:00,155.14,154.24,154.76,120123.31
2013-10-18 00:00:00,169.18,166.62,167.98,208955.78
2013-10-19 00:00:00,170.16,169.07,169.62,56352.9
2013-10-20 00:00:00,183.66,182.12,182.85,136655.75
2013-10-21 00:00:00,195.39,193.24,194.49,199535.42
2013-10-22 00:00:00,209.91,208.03,208.90,152626.89
2013-10-23 00:00:00,197.86,192.24,195.84,301453.58
2013-10-24 00:00:00,182.08,179.15,180.55,169645.77
2013-10-25 00:00:00,178.39,177.09,177.73,90114.22
2013-10-26 00:00:00,197.25,194.93,195.95,71028.09
2013-10-27 00:00:00,201.42,201.42,201.42,2646.39
2013-10-28 00:00:00,202.00,202.00,202.00,74024.99
2013-10-29 00:00:00,205.60,203.94,204.92,99855.79
2013-10-30 00:00:00,204.26,202.46,203.76,88756.65
2013-10-31 00:00:00,206.39,204.98,205.74,58928.64
2013-11-01 00:00:00,208.52,208.52,208.52,44929.39
2013-11-02 00:00:00,207.83,206.94,207.34,37622.92
2013-11-03 00:00:00,217.55,216.81,217.19,98092.77
2013-11-04 00:00:00,235.02,233.57,234.33,178389.42127113
2013-11-05 00:00:00,258.88,255.43,257.48,270576.05073679
2013-11-06 00:00:00,299.84,277.11,292.10,221541.6993165
2013-11-07 00:00:00,319.36,314.23,316.73,280491.58
