DateTime,High,Low,Average,Volume BTC
2016-03-08 00:00:00,3.4300,3.2000,3.3200,69385.49
2016-03-09 00:00:00,3.3100,3.2400,3.2600,145570.73
2016-03-10 00:00:00,3.2800,3.2300,3.2700,174442.74
2016-03-11 00:00:00,3.2800,3.2800,3.2800,174442.74
2016-03-14 00:00:00,3.3300,3.2700,3.3100,50744.37
2016-03-15 00:00:00,3.3400,3.2600,3.3100,49736.48
2016-03-16 00:00:00,3.3400,3.3000,3.3200,48164.79
2016-03-17 00:00:00,3.3500,3.3100,3.3300,44601.23
2016-03-18 00:00:00,3.3400,3.3300,3.3400,44601.23
2016-03-19 00:00:00,3.3400,3.1600,3.2000,62459.81
2016-03-20 00:00:00,3.1800,3.1800,3.1800,62459.81
2016-03-21 00:00:00,3.2300,3.1800,3.1900,43758.48
2016-03-22 00:00:00,3.2500,3.1900,3.2300,37914.87
2016-03-23 00:00:00,3.2700,3.2200,3.2500,106587.97
2016-03-24 00:00:00,3.2600,3.2200,3.2400,76921.76
2016-03-25 00:00:00,3.2400,3.1900,3.2200,51801.26
2016-03-26 00:00:00,3.2500,3.2000,3.2200,29925.59
2016-03-27 00:00:00,3.2200,3.2200,3.2200,29925.59
2016-03-29 00:00:00,3.2900,3.1900,3.2200,99222.81
2016-03-30 00:00:00,3.2400,3.1900,3.2200,44106.38
2016-03-31 00:00:00,3.2200,3.2200,3.2200,44106.38
2016-04-03 00:00:00,3.2900,3.2100,3.2500,30696.49
2016-04-04 00:00:00,3.2600,3.2100,3.2400,23797.14
2016-04-05 00:00:00,3.2800,3.2300,3.2600,17339.23
2016-04-06 00:00:00,3.2600,3.2200,3.2400,11328.73
2016-04-07 00:00:00,3.2500,3.2200,3.2300,12735.43
2016-04-08 00:00:00,3.2600,3.2300,3.2500,12809.9
2016-04-09 00:00:00,3.2600,3.1900,3.2300,39060.82
2016-04-10 00:00:00,3.2200,3.2100,3.2200,39264.77
2016-04-11 00:00:00,3.2300,3.2000,3.2200,20209.0
2016-04-12 00:00:00,3.2700,3.2100,3.2400,36883.97
2016-04-13 00:00:00,3.2600,3.2300,3.2500,40299.2
2016-04-14 00:00:00,3.2700,3.2400,3.2500,37998.39
2016-04-15 00:00:00,3.2800,3.2300,3.2600,49985.93
2016-04-16 00:00:00,3.3100,3.2600,3.2800,22362.43
2016-04-17 00:00:00,3.3100,3.2500,3.2800,20453.76
2016-04-18 00:00:00,3.2700,3.2200,3.2500,21990.92
2016-04-19 00:00:00,3.2700,3.2200,3.2500,26280.81
2016-04-20 00:00:00,3.2900,3.2500,3.2700,41593.49
2016-04-21 00:00:00,3.3400,3.2700,3.3100,60148.49
2016-04-22 00:00:00,3.3400,3.2800,3.3100,74976.47
2016-04-23 00:00:00,3.3100,3.3100,3.3100,74976.47
2016-04-24 00:00:00,3.5900,3.3100,3.4300,224090.11
2016-04-25 00:00:00,3.8200,3.5000,3.6400,343939.81
2016-04-26 00:00:00,4.0800,3.7300,3.8700,334753.71
2016-04-27 00:00:00,4.2000,3.8100,4.0100,547061.3
2016-04-28 00:00:00,3.8900,3.7000,3.7900,255219.93
2016-04-29 00:00:00,3.8300,3.7100,3.7800,96603.41
2016-04-30 00:00:00,3.8000,3.6300,3.7400,91331.49
