Date,Bitcoin Investment,Simple Moving Average,Value Averaging,Momentum
2018-10-21,1000,1000,1000,1000
2018-10-22,1005.089055,1000.387423,1004.736078,1001.171754
2018-10-23,998.55787,1001.70285,995.405616,996.396725
2018-10-24,998.941514,996.408928,989.934379,995.09872
2018-10-25,1003.813324,995.123786,991.9046,996.292066
2018-10-26,999.317453,996.488644,985.173028,992.405389
2018-10-27,997.955442,992.212667,983.318022,990.21383
2018-10-28,997.830642,989.829644,981.606098,988.653486
2018-10-29,997.795205,988.244688,979.00786,987.13725
2018-10-30,985.603353,986.719359,963.495603,980.375222
2018-10-31,973.664181,976.069194,947.796982,974.058395
2018-11-01,973.710403,965.751827,948.283937,972.577976
2018-11-02,978.477444,964.285378,952.405171,973.198359
2018-11-03,985.691175,966.18253,960.597239,975.067465
2018-11-04,981.619007,969.72416,957.155924,971.771917
2018-11-05,985.680389,965.436158,969.460033,972.152249
2018-11-06,990.792555,966.656085,978.871013,973.137411
2018-11-07,990.387341,968.500234,986.217002,971.450476
2018-11-08,1006.842413,966.741712,998.270688,977.92116
2018-11-09,1000.077037,975.461643,983.502011,973.308772
2018-11-10,990.032972,969.549705,970.14489,967.44576
2018-11-11,987.874399,961.172115,969.621969,965.066688
2018-11-12,985.922285,958.120147,962.66137,962.827297
2018-11-13,988.740293,955.146442,960.160202,962.448025
2018-11-14,986.097929,955.880204,953.984467,959.973213
2018-11-15,949.43609,952.308671,916.214335,946.056314
2018-11-16,864.786454,922.4001,850.336008,918.670485
2018-11-17,865.667755,856.138972,849.021307,917.453462
2018-11-18,859.732836,855.303299,836.590381,914.267036
2018-11-19,865.925059,849.399053,841.728989,914.614552
2018-11-20,813.176384,852.418111,786.647996,899.375247
2018-11-21,713.221065,813.093859,716.15901,876.065944
2018-11-22,697.798287,741.332888,698.468689,871.979792
2018-11-23,698.671885,729.251332,699.245758,870.633605
2018-11-24,666.035992,728.335026,665.478198,865.133581
2018-11-25,663.154813,705.640131,662.553394,863.449915
2018-11-26,593.223838,702.32806,612.097263,861.821758
2018-11-27,605.520461,658.350104,625.5498,860.345419
